slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",50957,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
4,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",30735,"[[True, False, True, True, False, ''], [True, True, False, True, False, ''], [False, False, True, False, True, 'kırmızı'], [False, True, False, False, True, 'kırmızı']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
5,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",15418,"[[True, False, False, True, False, ''], [True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
6,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",34034,"[[False, True, True, False, False, ''], [False, True, True, False, False, ''], [True, True, False, True, False, ''], [True, True, False, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
7,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",20652,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
8,adjective_ordering,table,table_metal_high,table_wood_low,table_wood_high,table_metal_low,"['low', 'metal', 'wooden', 'high']",27681,"[[False, True, False, True, False, ''], [False, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
9,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",12630,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
10,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",15587,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
11,adjective_ordering,hair,hair_curly_blonde,hair_straight_blond,hair_curly_brown,hair_straight_brown,"['blonde', 'straight', 'curly', 'brown']",12987,"[[True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
12,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",15961,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
13,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",14305,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
14,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",14879,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Mac,800,1280,türkçe,1,Yes,29,Male,4,,,,784580
