slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",17141,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
4,adjective_ordering,woman,woman_young_happy,woman_old_happy,woman_old_sad,woman_young_sad,"['old', 'sad', 'happy', 'young']",14913,"[[False, False, True, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, True, False, True, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
5,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",24520,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, False, True, False, True, 'kırmızı'], [False, True, False, False, True, 'kırmızı']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
6,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",13526,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
7,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",32370,"[[False, True, True, False, True, 'sakalsız'], [False, True, True, True, False, ''], [True, True, False, True, False, ''], [True, True, False, False, True, 'sakalsız']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
8,adjective_ordering,hair,hair_curly_blonde,hair_straight_blond,hair_curly_brown,hair_straight_brown,"['blonde', 'straight', 'curly', 'brown']",11176,"[[True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, ''], [False, True, True, False, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
9,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",31322,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
10,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",15715,"[[True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
11,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",13609,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
12,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",17750,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Mac,900,1440,Türkçe,1,Yes,37,Female,4,,Yazım yanlışı var bir soruda (alçak yerine akçak yazılmış),verilen ücret makul,205143
