slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",19572,"[[False, False, True, True, False, ''], [True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
4,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",15087,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
5,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",15091,"[[True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
6,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",11325,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
7,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",14342,"[[False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, False, False, True, False, ''], [True, True, False, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
8,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",13363,"[[True, False, False, True, False, ''], [True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
9,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",12838,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
10,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",20884,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
11,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",9844,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
12,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",17531,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
13,adjective_ordering,woman,woman_young_happy,woman_old_happy,woman_old_sad,woman_young_sad,"['old', 'sad', 'happy', 'young']",12063,"[[False, False, True, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, True, False, True, False, '']]",Safari,Mac,800,1280,English,1,Yes,33,Male,2,I'm not entirely sure what it was trying to work out,No,2.00,259407
