slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",79192,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
4,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",40343,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
5,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",54324,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
6,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",20324,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
7,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",36052,"[[True, False, False, True, False, ''], [True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
8,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",45669,"[[False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, False, False, True, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
9,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",18627,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
10,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",10593,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
11,adjective_ordering,table,table_metal_high,table_wood_low,table_wood_high,table_metal_low,"['low', 'metal', 'wooden', 'high']",58178,"[[False, True, False, True, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
12,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",46936,"[[True, False, True, True, False, ''], [True, True, False, True, False, ''], [False, False, True, False, True, 'kırmızı'], [False, True, False, False, True, 'kırmızı']]",Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,Hayir,1.00,466105
