slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",44118,"[[True, False, True, True, False, ''], [True, True, False, True, False, ''], [False, False, True, False, False, ''], [False, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
4,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",19993,"[[True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
5,adjective_ordering,woman,woman_young_happy,woman_old_happy,woman_old_sad,woman_young_sad,"['old', 'sad', 'happy', 'young']",17871,"[[False, False, True, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, True, False, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
6,adjective_ordering,table,table_metal_high,table_wood_low,table_wood_high,table_metal_low,"['low', 'metal', 'wooden', 'high']",22822,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
7,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",17520,"[[False, False, True, True, False, ''], [True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
8,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",15241,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
9,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",19296,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
10,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",11982,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
11,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",14928,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
12,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",34311,"[[False, True, True, False, False, ''], [False, True, True, True, False, ''], [True, True, False, True, False, ''], [True, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
13,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",21073,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
14,adjective_ordering,hair,hair_curly_blonde,hair_straight_blond,hair_curly_brown,hair_straight_brown,"['blonde', 'straight', 'curly', 'brown']",15009,"[[True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
15,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",20444,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
16,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",33242,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
17,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",12138,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
18,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",13668,"[[True, False, False, True, False, ''], [True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Firefox,Windows,1080,1920,Türkce,2,Yes,25,Male,1,,,2€,157454
