slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",18415,"[[True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, ''], [False, False, True, True, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
4,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",9716,"[[True, False, True, False, False, ''], [True, False, False, True, False, ''], [False, True, False, True, False, ''], [False, True, True, False, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
5,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",12194,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, ''], [False, False, True, True, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
6,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",10772,"[[False, False, True, True, False, ''], [True, True, False, False, False, ''], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
7,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",8654,"[[False, True, True, False, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
8,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",13481,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
9,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",15889,"[[False, False, True, True, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
10,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",10695,"[[False, False, True, True, False, ''], [True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
11,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",12812,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
12,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",17308,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Windows,1080,1920,English,2,Yes,18,Male,1,,No,$0.50,336995
