slide_number_in_experiment,trial_type,object,img1,img2,img3,img4,features,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
3,adjective_ordering,pencil,pencil_long_black,pencil_long_blue,pencil_short_black,pencil_short_blue,"['short', 'long', 'black', 'blue']",38965,"[[False, True, True, False, True, 'Dull'], [False, True, False, True, True, 'Sharp'], [True, False, False, True, True, 'Dull'], [True, False, False, True, True, 'Sharp']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
4,adjective_ordering,shorts,shorts_dry_green,shorts_wet_green,shorts_wet_red,shorts_dry_red,"['green', 'dry', 'wet', 'red']",48107,"[[True, True, False, False, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [False, True, False, True, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
5,adjective_ordering,man,man_old_bald,man_old_bearded,man_young_bearded,man_young_bald,"['young', 'bald', 'old', 'bearded']",40197,"[[False, True, True, False, False, ''], [False, True, True, True, False, ''], [True, True, False, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
6,adjective_ordering,picture,picture_colored_rectangular,picture_bw_square,picture_bw_rectangular,picture_colored_square,"['colored', 'square', 'black&white', 'rectangular']",25828,"[[True, False, False, True, False, ''], [False, True, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
7,adjective_ordering,frog,frog_spotted_green,frog_striped_green,frog_spotted_red,frog_striped_red,"['red', 'striped', 'spotted', 'green']",18352,"[[False, False, True, True, False, ''], [False, True, False, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
8,adjective_ordering,woman,woman_young_happy,woman_old_happy,woman_old_sad,woman_young_sad,"['old', 'sad', 'happy', 'young']",19303,"[[False, False, True, True, False, ''], [True, False, True, False, False, ''], [True, True, False, False, False, ''], [False, True, False, True, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
9,adjective_ordering,table,table_metal_high,table_wood_low,table_wood_high,table_metal_low,"['low', 'metal', 'wooden', 'high']",23171,"[[False, True, False, True, False, ''], [True, False, True, False, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
10,adjective_ordering,woman2,woman2_happy_fat,woman2_sad_skinny,woman2_happy_skinny,woman2_sad_fat,"['fat', 'sad', 'happy', 'skinny']",18304,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
11,adjective_ordering,earring,earring_small_triangular,earring_big_round,earring_big_triangular,earring_small_round,"['triangular', 'big', 'round', 'small']",48925,"[[True, False, False, True, True, 'Gold'], [False, True, True, False, True, 'Gold'], [True, True, False, False, True, 'Gold'], [False, False, True, True, True, 'Gold']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
12,adjective_ordering,spoon,spoon_wooden_dirty,spoon_metal_clean,spoon_wooden_clean,spoon_metal_dirty,"['metal', 'clean', 'wooden', 'dirty']",35171,"[[False, False, True, True, False, ''], [True, True, False, False, True, 'Shiny'], [False, True, True, False, False, ''], [True, False, False, True, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
13,adjective_ordering,hair,hair_curly_blonde,hair_straight_blond,hair_curly_brown,hair_straight_brown,"['blonde', 'straight', 'curly', 'brown']",33076,"[[True, False, True, False, True, 'Long'], [True, True, False, False, True, 'Long'], [False, False, True, True, True, 'Long'], [False, True, False, True, True, 'Long']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
14,adjective_ordering,cup,cup_full_plastic,cup_empty_plastic,cup_empty_metal,cup_full_metal,"['plastic', 'metal', 'full', 'empty']",32856,"[[True, False, False, True, False, ''], [True, False, True, False, True, 'Clear'], [False, True, False, True, False, ''], [False, True, True, False, True, 'Stained']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
15,adjective_ordering,box,box_closed_cardboard,box_closed_wood,box_open_wood,box_open_cardboard,"['closed', 'open', 'cardboard', 'wood']",34118,"[[True, False, True, False, True, 'Cube'], [True, False, False, True, True, 'Cube'], [False, True, False, True, True, 'Cube'], [False, True, True, False, True, 'Cube']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
16,adjective_ordering,bottle,bottle_plastic_big,bottle_glass_big,bottle_plastic_small,bottle_glass_small,"['plastic', 'big', 'glass', 'small']",35209,"[[True, True, False, False, True, 'Full'], [False, True, True, False, True, 'Empty'], [True, False, False, True, True, 'Full'], [False, False, True, True, True, 'Empty']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
17,adjective_ordering,man2,man2_bearded_glassed,man2_mustached_hatted,man2_mustached_glassed,man2_bearded_glassed,"['beard', 'hat', 'glasses', 'mustache']",34400,"[[True, False, True, False, False, ''], [False, True, False, True, False, ''], [False, False, True, True, False, ''], [True, False, True, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
18,adjective_ordering,nail_polish,nails_black_matte,nails_black_glossy,nails_red_matte,nails_red_glossy,"['glossy', 'red', 'matte', 'black']",17285,"[[False, False, True, True, False, ''], [True, False, False, True, False, ''], [False, True, True, False, False, ''], [True, True, False, False, False, '']]",Chrome,Linux,786,393,English,1,Yes,37,Female,4,,No,2.00,585846
