trial_type,object,rt,Answer.time_in_minutes,workerid,label,slide_number_in_experiment,response
bot_check,Zeynep,0,12.345833333333333,0,,1,Zenep
bot_check,Zeynep,0,12.345833333333333,0,,1,Zeynep
overinformativeness,book,71266,12.345833333333333,0,book_big_blue,3,kitap
overinformativeness,cat,17490,12.345833333333333,0,cat_big_white,4,kedi
overinformativeness,scissors,33295,12.345833333333333,0,scissors_big_blue,5,SISER
overinformativeness,shoe,5210,12.345833333333333,0,shoe_big_yellow,6,shoe
adjective_ordering,shorts,5954,12.345833333333333,0,shorts_dry_red,7,"
tra k"
overinformativeness,bag,2545,12.345833333333333,0,bag_big_blue,8,"
ssss"
adjective_ordering,spoon,8969,12.345833333333333,0,spoon_wooden_clean,9,"
spoon"
overinformativeness,cat,2334,12.345833333333333,0,cat_big_black,10,"
sdd"
adjective_ordering,pencil,3481,12.345833333333333,0,pencil_long_black,11,"
ddd"
adjective_ordering,bottle,1614,12.345833333333333,0,bottle_plastic_big,12,"
dd"
overinformativeness,lipstick,1403,12.345833333333333,0,lipstick_big_red,13,"
ddd"
adjective_ordering,picture,2024,12.345833333333333,0,picture_bw_rectangular,14,"
sss"
adjective_ordering,table,5456,12.345833333333333,0,table_metal_high,15,"dd
"
adjective_ordering,picture,2938,12.345833333333333,0,picture_colored_square,16,"
sda"
adjective_ordering,woman,2211,12.345833333333333,0,woman_young_sad,17,"
sd"
overinformativeness,key,1003,12.345833333333333,0,key_big_gold,18,"
dddd"
overinformativeness,clock,1235,12.345833333333333,0,clock_big_yellow,19,"
ff"
adjective_ordering,pencil,7549,12.345833333333333,0,pencil_short_blue,20,"
ddd"
overinformativeness,lighter,2224,12.345833333333333,0,lighter_big_white,21,"
ffg"
overinformativeness,knife,1969,12.345833333333333,0,knife_big_red,22,"
fg"
overinformativeness,chair,4240,12.345833333333333,0,chair_big_blue,23,"
tab"
overinformativeness,pepper,5952,12.345833333333333,0,pepper_big_green,24,"
djjd"
overinformativeness,pants,2764,12.345833333333333,0,pants_big_green,25,"
jddj"
overinformativeness,glove,1702,12.345833333333333,0,glove_big_orange,26,"
djjjd"
overinformativeness,rosary,3242,12.345833333333333,0,rosary_big_blue,27,"
jjsj"
overinformativeness,bag,7220,12.345833333333333,0,bag_big_red,28,"
bag'"
overinformativeness,ball,3775,12.345833333333333,0,ball_big_yellow,29,"
ball'"
adjective_ordering,earring,3919,12.345833333333333,0,earring_big_round,30,"
ll"
overinformativeness,balloon,5200,12.345833333333333,0,balloon_big_yellow,31,"
lll"
overinformativeness,rosary,3100,12.345833333333333,0,rosary_big_yellow,32,"
sdd"
adjective_ordering,hair,3323,12.345833333333333,0,hair_curly_brown,33,"
ddfd"
overinformativeness,glasses,2035,12.345833333333333,0,glasses_big_blue,34,"
ds"
overinformativeness,toothbrush,2185,12.345833333333333,0,toothbrush_big_purple,35,"
kkd"
overinformativeness,binoculars,2476,12.345833333333333,0,binoculars_big_blue,36,"
dd"
adjective_ordering,cup,3245,12.345833333333333,0,cup_empty_glass,37,"
asd"
overinformativeness,ball,1706,12.345833333333333,0,ball_big_purple,38,"
sd"
overinformativeness,balloon,1636,12.345833333333333,0,balloon_big_pink,39,"
sd"
overinformativeness,brush,2016,12.345833333333333,0,brush_big_red,40,"
da"
overinformativeness,glasses,7322,12.345833333333333,0,glasses_big_red,41,"
eyeglass"
overinformativeness,socks,2988,12.345833333333333,0,socks_big_green,42,"
jjk"
overinformativeness,glove,3072,12.345833333333333,0,glove_big_green,43,"
kjk"
overinformativeness,dress,3762,12.345833333333333,0,dress_big_blue,44,"
kjkk"
adjective_ordering,picture,5992,12.345833333333333,0,picture_bw_square,45,"
lll"
overinformativeness,lock,3243,12.345833333333333,0,lock_big_gold,46,"
vv"
overinformativeness,flower,2486,12.345833333333333,0,flower_big_pink,47,"
llgl"
overinformativeness,apple,1746,12.345833333333333,0,apple_big_green,48,"
glgl"
overinformativeness,book,2223,12.345833333333333,0,book_big_red,49,"
tgl"
adjective_ordering,woman,1731,12.345833333333333,0,woman_old_happy,50,"
glf"
adjective_ordering,earring,3950,12.345833333333333,0,earring_small_round,51,"
ear"
adjective_ordering,box,2639,12.345833333333333,0,box_closed_wood,52,"
sdf"
adjective_ordering,box,1582,12.345833333333333,0,box_open_cardboard,53,"
sdfs"
adjective_ordering,shorts,2455,12.345833333333333,0,shorts_wet_green,54,"
ddd"
overinformativeness,pepper,16443,12.345833333333333,0,pepper_big_red,55,"
re"
adjective_ordering,spoon,1949,12.345833333333333,0,spoon_metal_dirty,56,"
ghjgh"
overinformativeness,dress,2207,12.345833333333333,0,dress_big_green,57,"
ghjg"
overinformativeness,lighter,1960,12.345833333333333,0,lighter_big_black,58,"
ghghjg"
overinformativeness,tie,535,12.345833333333333,0,tie_big_blue,59,"
gh"
overinformativeness,tshirt,683,12.345833333333333,0,tshirt_big_yellow,60,"
jghjgh"
overinformativeness,mirror,1497,12.345833333333333,0,mirror_big_white,61,"
ghghjg"
overinformativeness,lock,1913,12.345833333333333,0,lock_big_silver,62,"
ghjg"
adjective_ordering,woman,1695,12.345833333333333,0,woman_old_sad,63,"
ghjg"
adjective_ordering,table,1791,12.345833333333333,0,table_wood_high,64,"
swtr"
adjective_ordering,pencil,1940,12.345833333333333,0,pencil_long_blue,65,"
fhf"
adjective_ordering,cup,2084,12.345833333333333,0,cup_empty_metal,66,"
gfh"
overinformativeness,skirt,1756,12.345833333333333,0,skirt_big_blue,67,"
hgf"
adjective_ordering,picture,2175,12.345833333333333,0,picture_colored_rectangular,68,"
hhh"
adjective_ordering,pencil,4026,12.345833333333333,0,pencil_short_black,69,"
pencil"
adjective_ordering,shorts,22202,12.345833333333333,0,shorts_wrinkled_red,70,"
bvnhg"
adjective_ordering,hair,1808,12.345833333333333,0,hair_straight_brown,71,"
fghfg"
overinformativeness,umbrella,1520,12.345833333333333,0,umbrella_big_green,72,"
fgfg"
adjective_ordering,table,5059,12.345833333333333,0,table_metal_low,73,"
table"
overinformativeness,shoe,4012,12.345833333333333,0,shoe_big_pink,74,"
kfrt"
adjective_ordering,man,3151,12.345833333333333,0,man_old_bald,75,"
kedi'"
