slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
3,overinformativeness,glove_big_orange,glove,49098,Elviden,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
4,adjective_ordering,earring_small_round,earring,32210,küpe,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
5,overinformativeness,cat_big_white,cat,5129,kedi,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
6,overinformativeness,socks_big_blue,socks,12151,çorap,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
7,overinformativeness,lighter_big_black,lighter,22520,çakmak,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
8,overinformativeness,shoe_big_pink,shoe,8806,ayakkabi,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
9,overinformativeness,tshirt_big_orange,tshirt,14737,tişört,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
10,overinformativeness,glasses_big_blue,glasses,13007,Gözlük,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
11,overinformativeness,pepper_big_green,pepper,30633,dolmalık biber,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
12,overinformativeness,rosary_big_yellow,rosary,50671,Zincir,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
13,overinformativeness,tie_big_red,tie,12327,kravat,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
14,adjective_ordering,box_closed_cardboard,box,10578,kutu,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
15,overinformativeness,lipstick_big_red,lipstick,13445,ruj,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
16,overinformativeness,hat_big_pink,hat,15944,pembe şapka,Chrome,Windows,1000,1500,Türkçe,1,Yes,21,Female,3,,hayir,5.00,771523
