slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
3,overinformativeness,pot_big_green,pot,9902,tencere,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
4,overinformativeness,tshirt_big_yellow,tshirt,8108,tshirt,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
5,overinformativeness,lipstick_big_pink,lipstick,4124,ruj,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
6,overinformativeness,balloon_big_pink,balloon,4624,balon,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
7,overinformativeness,tshirt_big_orange,tshirt,5696,tshirt,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
8,overinformativeness,tie_big_blue,tie,21144,kravat,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
9,overinformativeness,clock_big_purple,clock,5080,saat,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
10,overinformativeness,pants_big_pink,pants,5072,pantalon,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
11,adjective_ordering,man_young_bearded,man,8288,adam,Chrome,Windows,1080,1920,Turkce,1,Yes,36,Male,3,,"Evet, deney Firefox ve Google chrome ile calismadi. Ayran ne renk sorusuna beyaz yazmama ragmen ilerleyemedim. Opera ile deneyi acinca sorunsuz bitirebildim.",Ucret uygun gibi. Bunun benzeri bir deneyi referans olmasi acisindan $1.50 civari yapmistim.,286116
