slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
3,overinformativeness,tshirt_big_orange,tshirt,28531,tisört,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
4,overinformativeness,mirror_big_black,mirror,5680,ayna,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
5,overinformativeness,lipstick_big_red,lipstick,3631,ruj,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
6,overinformativeness,chair_big_blue,chair,4524,sandalye,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
7,overinformativeness,cat_big_black,cat,4932,kedi,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
8,overinformativeness,scissors_big_green,scissors,3323,makas,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
9,overinformativeness,key_big_silver,key,3513,anahtar,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
10,overinformativeness,button_big_green,button,9882,düğme,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
11,adjective_ordering,bottle_glass_big,bottle,8100,şişe,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
12,overinformativeness,ball_big_purple,ball,5866,top,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
13,overinformativeness,dress_big_blue,dress,7030,elbise,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
14,overinformativeness,cat_big_white,cat,9243,kedi,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
15,adjective_ordering,table_wood_high,table,3240,masa,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
16,adjective_ordering,spoon_metal_dirty,spoon,6676,kaşık,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
17,overinformativeness,rosary_big_blue,rosary,4653,tesbih,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
18,overinformativeness,knife_big_blue,knife,5530,bıçak,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
19,overinformativeness,pot_big_blue,pot,4830,tencere,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
20,overinformativeness,tie_big_blue,tie,6541,kıravat,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
21,overinformativeness,button_big_blue,button,7620,düğme,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
22,overinformativeness,toothbrush_big_purple,toothbrush,10911,diş fırçası,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
23,overinformativeness,skirt_big_green,skirt,3986,etek,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
24,overinformativeness,balloon_big_pink,balloon,3624,balon,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
25,overinformativeness,pot_big_green,pot,6490,tencere,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
26,overinformativeness,rosary_big_yellow,rosary,4951,tesbih,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
27,overinformativeness,pepper_big_red,pepper,7751,biber,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
28,overinformativeness,knife_big_red,knife,5244,bıçak,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
29,overinformativeness,bag_big_blue,bag,5462,çanta,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
30,overinformativeness,binoculars_big_red,binoculars,8354,dürbün,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
31,overinformativeness,clock_big_yellow,clock,3657,\nsaat,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
32,overinformativeness,apple_big_red,apple,2288,\nelma,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
33,overinformativeness,book_big_blue,book,4423,\nkitap,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
34,overinformativeness,balloon_big_yellow,balloon,2760,\nbalon,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
35,adjective_ordering,man2_bearded_glassed,man2,11303,\nkafa,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
36,overinformativeness,pepper_big_green,pepper,5248,\nbiber,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
37,overinformativeness,skirt_big_blue,skirt,2152,\netek,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
38,overinformativeness,lighter_big_black,lighter,4544,\nçakmak,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
39,adjective_ordering,woman2_happy_fat,woman2,12052,\ninsan,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
40,overinformativeness,brush_big_blue,brush,4896,\nfırça,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
41,overinformativeness,lock_big_silver,lock,4024,\nkilit,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
42,adjective_ordering,frog_striped_green,frog,5944,\nkurbağa,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
43,overinformativeness,bag_big_red,bag,4504,\nçanta,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
44,overinformativeness,chair_big_yellow,chair,3344,\nsandalye,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
45,overinformativeness,flower_big_pink,flower,6688,\nçiçek,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
46,overinformativeness,clock_big_purple,clock,3640,\nsaat,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
47,overinformativeness,binoculars_big_blue,binoculars,19163,\ndürbün,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
48,overinformativeness,tshirt_big_yellow,tshirt,9378,\ntişört,Chrome,Mac,800,1280,Türkçe,1,Yes,29,Male,4,,,,786698
