slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,Beyaz,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
3,adjective_ordering,hair_curly_blonde,hair,11007,kıvırcık saç,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
4,overinformativeness,lock_big_gold,lock,12776,kilit,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
5,overinformativeness,cat_big_white,cat,5464,beyaz kedi,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
6,overinformativeness,hat_big_pink,hat,6320,şapka,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
7,overinformativeness,car_big_green,car,6824,oyuncak araba,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
8,adjective_ordering,woman2_sad_fat,woman2,18984,kadın,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
9,overinformativeness,knife_big_blue,knife,4960,bıçak,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
10,overinformativeness,balloon_big_pink,balloon,4664,balon,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
11,overinformativeness,cat_big_black,cat,4456,siyah kedi,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
12,adjective_ordering,table_wood_low,table,3176,masa,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
13,overinformativeness,apple_big_green,apple,3840,yeşil elma,Chrome,Windows,768,1366,türkçe,1,Yes,34,Male,3,Piskolojik olarak insanların aynı eşyaları gördükten sonra yazdığı açıklamalar değişecek mi yoksa değişmeyecek mi bunu anlamak için yapılan güzel deney. Benim değişti hoşuma gitti,hayır,5,132517
