slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
3,adjective_ordering,woman2_happy_fat,woman2,45481,kadın,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
4,adjective_ordering,woman_young_happy,woman,14687,kadın,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
5,adjective_ordering,nails_black_glossy,nail_polish,12008,parmaklar,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
6,overinformativeness,hat_big_orange,hat,7240,şapka,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
7,overinformativeness,scissors_big_blue,scissors,5402,makas,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
8,overinformativeness,dress_big_blue,dress,5802,elbise,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
9,overinformativeness,flower_big_yellow,flower,10043,çiçek,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
10,overinformativeness,apple_big_red,apple,57213,elma,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
11,adjective_ordering,box_closed_cardboard,box,5420,kutu,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
12,overinformativeness,mirror_big_white,mirror,4484,ayna,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
13,adjective_ordering,frog_striped_green,frog,7148,kurbağa,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
14,overinformativeness,umbrella_big_green,umbrella,20330,şemsiye,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
15,overinformativeness,glasses_big_red,glasses,9569,gözlük,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
16,overinformativeness,pepper_big_red,pepper,4792,biber,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
17,overinformativeness,pot_big_green,pot,8430,tencere,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
18,overinformativeness,shoe_big_pink,shoe,8301,ayakkabı,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
19,overinformativeness,mirror_big_black,mirror,3689,ayna,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
20,overinformativeness,hat_big_pink,hat,4407,şapka,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
21,adjective_ordering,hair_curly_brown,hair,14091,kıvırcık saç,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
22,overinformativeness,balloon_big_yellow,balloon,4689,balon,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
23,overinformativeness,toothbrush_big_purple,toothbrush,6956,diş fırçası,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
24,adjective_ordering,pencil_long_blue,pencil,7711,kalem,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
25,overinformativeness,pants_big_green,pants,4486,pantolon,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
26,overinformativeness,flower_big_pink,flower,4559,çiçek,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
27,overinformativeness,button_big_blue,button,4702,düğme,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
28,overinformativeness,car_big_green,car,5586,oyuncak araba,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
29,adjective_ordering,shorts_wet_red,shorts,8275,şort,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
30,overinformativeness,skirt_big_green,skirt,6289,pilili etek,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
31,overinformativeness,clock_big_purple,clock,7098,çalar saat,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
32,overinformativeness,pants_big_pink,pants,5572,pantolon,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
33,overinformativeness,binoculars_big_red,binoculars,7468,dürbün,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
34,adjective_ordering,man2_mustached_glassed,man2,8108,gözlüklü adam,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
35,adjective_ordering,spoon_metal_clean,spoon,3676,kaşık,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
36,adjective_ordering,man_young_bald,man,3178,adam,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
37,overinformativeness,glove_big_orange,glove,7122,eldiven,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
38,overinformativeness,shoe_big_yellow,shoe,8455,ayakkabı,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
39,overinformativeness,pot_big_blue,pot,6277,tencere,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
40,overinformativeness,bag_big_red,bag,3907,çanta,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
41,overinformativeness,knife_big_red,knife,4279,bıçak,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
42,overinformativeness,button_big_green,button,5201,düğme,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
43,overinformativeness,rosary_big_yellow,rosary,4317,tesbih,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
44,overinformativeness,cat_big_black,cat,4970,kedi,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
45,overinformativeness,socks_big_blue,socks,3728,çorap,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
46,overinformativeness,tie_big_red,tie,9941,kravat,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
47,overinformativeness,bag_big_blue,bag,4548,çanta,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
48,overinformativeness,chair_big_blue,chair,12490,sandalye,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
49,adjective_ordering,picture_bw_rectangular,picture,7802,tablo,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
50,overinformativeness,umbrella_big_blue,umbrella,5611,şemsiye,Chrome,Windows,768,1366,Türkçe,1,Yes,27,Female,3,,Hayır,,837593
