slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
3,adjective_ordering,picture_colored_rectangular,picture,20717,portre,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
4,overinformativeness,rosary_big_yellow,rosary,9165,tesbih,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
5,overinformativeness,tshirt_big_orange,tshirt,28903,gömlek,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
6,adjective_ordering,woman2_sad_skinny,woman2,11412,kadın,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
7,overinformativeness,lighter_big_black,lighter,44629,çakmak,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
8,overinformativeness,hat_big_pink,hat,15089,şapka,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
9,overinformativeness,brush_big_blue,brush,21607,boya,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
10,overinformativeness,bag_big_blue,bag,19861,\nsırt çantası,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
11,overinformativeness,tie_big_blue,tie,7169,\nkravat,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
12,overinformativeness,flower_big_yellow,flower,6049,\ngül,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
13,overinformativeness,mirror_big_black,mirror,3662,\nayna,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
14,overinformativeness,car_big_blue,car,3132,\naraba,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
15,overinformativeness,cat_big_black,cat,3371,\nkedi,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
16,adjective_ordering,bottle_plastic_big,bottle,1919,\nsu,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
17,overinformativeness,brush_big_red,brush,3727,\nboya,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
18,overinformativeness,ball_big_yellow,ball,5279,\nsarı top,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
19,overinformativeness,chair_big_blue,chair,14307,\nsandalye,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
20,overinformativeness,tie_big_red,tie,13323,\nkravat,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
21,overinformativeness,glove_big_green,glove,12559,\neldiven,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
22,adjective_ordering,hair_curly_blonde,hair,3582,\nsaç,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
23,overinformativeness,clock_big_purple,clock,4315,\nsaat,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
24,overinformativeness,hat_big_orange,hat,6148,\nşapka,Chrome,Windows,864,1536,Türkçe,1,Yes,19,Male,1,,,1.00 sterlin,672175
