slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
3,overinformativeness,hat_big_orange,hat,6511,Şapka,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
4,overinformativeness,binoculars_big_red,binoculars,8976,dürbün,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
5,adjective_ordering,man2_mustached_hatted,man2,12509,\nŞapkalı adam,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
6,overinformativeness,chair_big_yellow,chair,3620,\nSandalye,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
7,overinformativeness,pepper_big_red,pepper,6786,\nKırmızı Biber,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
8,overinformativeness,tshirt_big_yellow,tshirt,8123,\nT-shirt,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
9,overinformativeness,cat_big_black,cat,3404,\nKedş,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
10,overinformativeness,glasses_big_blue,glasses,4847,\nGözlük,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
11,overinformativeness,rosary_big_yellow,rosary,4832,\nTesbih,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
12,overinformativeness,glove_big_orange,glove,4142,\nEldiven,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
13,overinformativeness,balloon_big_yellow,balloon,3237,\nBalon,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
14,adjective_ordering,bottle_glass_big,bottle,3795,\nŞişe,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
15,overinformativeness,rosary_big_blue,rosary,4193,\nTesbih,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
16,adjective_ordering,cup_full_metal,cup,5972,\nBardak,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
17,adjective_ordering,shorts_wet_green,shorts,4045,\nŞort,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
18,overinformativeness,tie_big_blue,tie,10090,\nKravat,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
19,adjective_ordering,box_open_wood,box,8634,Kutu,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
20,overinformativeness,knife_big_red,knife,5815,\nBıçak,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
21,overinformativeness,umbrella_big_green,umbrella,4130,\nŞemsiye,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
22,overinformativeness,dress_big_green,dress,3257,\nElbise,Chrome,Windows,864,1536,Türkçe,-1,Confused,29,Female,4,,Başlarda sadece nesneyi yazdım fakat daha sonra nesnelerı betımlemem gerektiğini de düşündüm. Bir de Türkçe karakterleri girmekte hata yapmış olabilirim. Ya da beklediğinizden daha uzun bir sürede tamamlamış olablirim. Klavyem Türkçe değil ve harflerin yerini hatırlamakta zorluk çekiyorum. ,0.25 GBP,420296
