slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,asses,age,gender,education,comments,problems,fairprice,participant_id
1,bot_check,,beyaz,0,beyaz,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
3,overinformativeness,tie_big_red,tie,5526,kravat,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
4,overinformativeness,hat_big_orange,hat,10880,sapka,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
5,overinformativeness,scissors_big_green,scissors,4656,makas,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
6,adjective_ordering,cup_empty_plastic,cup,19431,portakal suyu (plastik bardakta),Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
7,overinformativeness,lipstick_big_pink,lipstick,4425,ruj,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
8,overinformativeness,flower_big_yellow,flower,9992,sari cicek,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
9,overinformativeness,car_big_green,car,8672,yesil oyuncak araba,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
10,overinformativeness,glove_big_orange,glove,13544,portakal rengi plastik eldiven,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
11,overinformativeness,shoe_big_pink,shoe,24175,pembe renkli converse tip spor ayakkabisi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
12,adjective_ordering,frog_spotted_red,frog,13383,beyaz benekli kirmizi kurbaga,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
13,overinformativeness,lipstick_big_red,lipstick,14704,kirmizi ruj,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
14,overinformativeness,socks_big_blue,socks,25448,mavi soset (shoset) corap,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
15,adjective_ordering,nails_black_matte,nail_polish,27855,siyah ojeli havluyu tutan el,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
16,overinformativeness,ball_big_purple,ball,7184,mor top,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
17,overinformativeness,pants_big_pink,pants,8264,pembe pantolon,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
18,overinformativeness,lighter_big_black,lighter,6335,siyah cakmak,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
19,overinformativeness,balloon_big_yellow,balloon,6072,sari balon,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
20,overinformativeness,chair_big_blue,chair,8599,mavi sandalye,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
21,overinformativeness,mirror_big_white,mirror,11777,beyaz cerceveli ayna,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
22,overinformativeness,rosary_big_yellow,rosary,14184,sari tesbih,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
23,overinformativeness,toothbrush_big_green,toothbrush,7752,yesil dis fircasi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
24,overinformativeness,key_big_silver,key,5104,anahtar,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
25,adjective_ordering,man_young_bald,man,27151,yuz (portre fotograf),Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
26,adjective_ordering,table_wood_high,table,6504,ahsap masa,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
27,overinformativeness,bag_big_blue,bag,9072,mavi sirt cantasi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
28,adjective_ordering,earring_big_round,earring,15135,metal yuvarlak kupe,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
29,overinformativeness,knife_big_blue,knife,15256,mavi sapli keskin meyva bicagi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
30,overinformativeness,cat_big_white,cat,8648,beyaz oturan kedi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
31,overinformativeness,brush_big_blue,brush,10713,mavi sapli boya fircasi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
32,overinformativeness,pants_big_green,pants,8552,yesil pantolon,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
33,overinformativeness,bag_big_red,bag,7696,kirmizi sirt cantasi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
34,overinformativeness,key_big_gold,key,10335,altin renli anahtar,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
35,overinformativeness,glove_big_green,glove,8023,yesil plastik eldiven,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
36,overinformativeness,brush_big_red,brush,18855,turuncu sapli boya fircasi,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
37,overinformativeness,book_big_blue,book,11472,mavi kapli not defteri,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
38,overinformativeness,lighter_big_white,lighter,5424,beyaz cakmak,Chrome,Windows,900,1600,turkce,1,Yes,43,Female,4,kullandigim klavyede turkce karakterler yoktu. Ilginc bir deneydi.,,,694119
