gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjTrialType 	clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1TrialType	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2TrialType	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3TrialType	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
1342-9	1619058078192	1	clickedObj		tomato	filler	none	target	3	4	pig	filler	none	distractor	1	3	horse	filler	none	distractor	2	2	fish	filler	none	distractor	4	1	1	1	0	The vegetable		1619058075266
1342-9	1619058085836	2	clickedObj		elephant	filler	none	target	1	4	guitar	filler	none	distractor	2	3	bowl	filler	none	distractor	3	2	banana	filler	none	distractor	4	1	1	1	0	Animal		1619058082743
1342-9	1619058097535	3	clickedObj		butterfly	filler	none	target	3	4	chick	filler	none	distractor	1	2	dog	filler	none	distractor	4	3	strawberry	filler	none	distractor	2	1	1	1	0	It can fly, pink		1619058094950
1342-9	1619058106194	4	clickedObj		horse	filler	none	target	3	2	fish	filler	none	distractor	4	1	pig	filler	none	distractor	1	3	tomato	filler	none	distractor	2	4	1	1	0	races		1619058104134
1342-9	1619058112568	5	clickedObj		strawberry	filler	none	target	1	3	dog	filler	none	distractor	3	1	butterfly	filler	none	distractor	2	4	chick	filler	none	distractor	4	2	1	1	0	fruit		1619058110627
1342-9	1619058124730	6	clickedObj		table_metal_low	adjective_ordering	none	target	3	1	table_wood_high	adjective_ordering	none	distractor	1	4	table_wood_low	adjective_ordering	none	distractor	2	3	table_metal_high	adjective_ordering	none	distractor	4	2	1	1	0	the silver one with short legs		1619058121701
1342-9	1619058135660	7	clickedObj		frog_spotted_red	adjective_ordering	none	target	3	1	frog_striped_red	adjective_ordering	none	distractor	2	3	frog_striped_green	adjective_ordering	none	distractor	1	2	frog_spotted_green	adjective_ordering	none	distractor	4	4	1	1	0	red and spots		1619058131300
1342-9	1619058140994	8	clickedObj		chick	filler	none	target	2	1	dog	filler	none	distractor	3	3	butterfly	filler	none	distractor	4	2	strawberry	filler	none	distractor	1	4	1	1	0	bird		1619058139188
1342-9	1619058147912	9	clickedObj		bag_small_blue	overinformativeness	size_sufficient	target	4	1	bag_big_red	overinformativeness	size_sufficient	distractor	2	2	bag_big_blue	overinformativeness	size_sufficient	distractor	3	3	bag_big_blue	overinformativeness	size_sufficient	distractor	1	4	1	1	0	small		1619058146252
1342-9	1619058167381	10	clickedObj		woman_old_happy	adjective_ordering	none	target	4	3	woman_old_sad	adjective_ordering	none	distractor	2	2	woman_young_sad	adjective_ordering	none	distractor	3	4	woman_young_happy	adjective_ordering	none	distractor	1	1	1	1	0	smile, brown hair		1619058155797
1342-9	1619058172964	11	clickedObj		ball_small_purple	overinformativeness	size_sufficient	target	4	1	ball_big_yellow	overinformativeness	size_sufficient	distractor	1	3	ball_big_purple	overinformativeness	size_sufficient	distractor	3	2	ball_big_purple	overinformativeness	size_sufficient	distractor	2	4	1	1	0	small		1619058171133
1342-9	1619058185119	12	clickedObj		bottle_plastic_small	adjective_ordering	none	target	4	2	bottle_glass_small	adjective_ordering	none	distractor	1	1	bottle_plastic_big	adjective_ordering	none	distractor	2	4	bottle_glass_big	adjective_ordering	none	distractor	3	3	1	1	0	small, not glass		1619058181445
1342-9	1619058201475	13	clickedObj		man2_bearded_hatted	adjective_ordering	none	target	1	3	man2_mustached_glassed	adjective_ordering	none	distractor	4	4	man2_bearded_glassed	adjective_ordering	none	distractor	3	2	man2_mustached_hatted	adjective_ordering	none	distractor	2	1	1	1	0	big beard, hat		1619058197387
1342-9	1619058209820	14	clickedObj		guitar	filler	none	target	3	3	bowl	filler	none	distractor	4	2	elephant	filler	none	distractor	2	4	banana	filler	none	distractor	1	1	1	1	0	green guitar		1619058207299
1342-9	1619058216425	15	clickedObj		car_big_blue	overinformativeness	size_sufficient	target	3	2	car_small_blue	overinformativeness	size_sufficient	distractor	4	3	car_small_blue	overinformativeness	size_sufficient	distractor	1	4	car_small_green	overinformativeness	size_sufficient	distractor	2	1	1	1	0	big		1619058214043
